school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,subject,total_study_time,parent_education,alcohol_consumption,Predicted_Grade,Risk_Category,Grade_Improvement,Is_Improving,Performance_Level,Study_Efficiency,Risk_Score
0,0,18,1,0,0,4,4,0,4,0,1,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,5,6,6,math,4,4.0,1.0,,,1,True,Low,1.5,6.2
0,0,17,1,0,1,1,1,0,2,0,0,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,5,5,6,math,2,1.0,1.0,,,1,True,Low,3.0,6.3999999999999995
0,0,15,1,1,1,1,1,0,2,2,1,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,7,8,10,math,2,1.0,2.5,7.12672981262207,High Risk,3,True,Low,5.0,8.799999999999999
0,0,15,1,0,1,4,2,1,3,1,1,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,15,14,15,math,3,3.0,1.0,14.39429069519043,Low Risk,0,False,High,5.0,5.7
0,0,16,1,0,1,3,3,2,2,1,0,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,6,10,10,math,2,3.0,1.5,,,4,True,Low,5.0,6.499999999999999
0,1,16,1,1,1,4,3,3,2,3,1,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,15,15,15,math,2,3.5,1.5,,,0,False,High,7.5,7.699999999999999
0,1,16,1,1,1,2,2,2,2,1,1,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,12,12,11,math,2,2.0,1.0,,,-1,False,Medium-Low,5.5,5.6
0,0,17,1,0,0,4,4,2,4,1,1,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,6,5,6,math,4,4.0,1.0,,,0,False,Low,1.5,6.2
0,1,15,1,1,0,3,2,3,2,1,1,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,16,18,19,math,2,2.5,1.0,,,3,True,High,9.5,5.6
0,1,15,1,0,1,3,4,2,2,1,1,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,14,15,15,math,2,3.5,1.0,,,1,True,High,7.5,5.6
0,0,15,1,0,1,4,4,4,1,3,1,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,10,8,9,math,2,4.0,1.5,5.444828310012817,High Risk,-1,False,Low,4.5,5.699999999999999
0,0,15,1,0,1,2,1,3,2,3,0,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,10,12,12,math,9,1.5,1.0,,,2,True,Medium-High,1.3333333333333333,4.3
0,1,15,1,1,1,4,4,1,3,0,0,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,14,14,14,math,1,4.0,2.0,,,0,False,Medium-High,14.0,6.500000000000001
0,1,15,1,0,1,4,3,4,2,0,1,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,10,10,11,math,4,3.5,1.5,,,1,True,Medium-Low,2.75,5.5
0,1,15,1,0,0,2,2,2,2,1,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,16,16,math,3,2.0,1.0,,,2,True,High,5.333333333333333,5.3
0,0,16,1,0,1,4,4,1,2,1,1,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14,14,14,math,1,4.0,1.5,,,0,False,Medium-High,14.0,6.8
0,0,16,1,0,1,4,4,3,3,3,1,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,13,14,14,math,3,4.0,1.5,,,1,True,Medium-High,4.666666666666667,6.6
0,0,16,1,0,1,3,3,2,2,3,1,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,8,10,10,math,6,3.0,1.0,,,2,True,Low,1.6666666666666667,5.2
0,1,17,1,0,1,3,2,3,3,0,1,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,6,5,5,math,1,2.5,3.0,,,-1,False,Low,5.0,10.4
0,1,16,1,1,1,4,3,1,2,1,0,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,8,10,10,math,1,3.5,2.0,,,2,True,Low,10.0,6.9
0,1,15,1,0,1,4,3,4,2,3,1,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,13,14,15,math,2,3.5,1.0,,,2,True,High,7.5,5.6
0,1,15,1,0,1,4,4,1,1,2,0,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,12,15,15,math,1,4.0,1.0,,,3,True,High,15.0,5.9
0,1,16,1,1,1,4,2,4,2,0,1,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,15,15,16,math,2,3.0,2.0,,,1,True,High,8.0,6.2
0,1,16,1,1,1,2,2,2,2,3,1,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,13,13,12,math,4,2.0,3.0,13.204380626678468,Medium Risk,-1,False,Medium-High,3.0,5.4
0,0,15,0,0,1,2,4,3,1,0,1,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,10,9,8,math,3,3.0,1.0,,,-2,False,Low,2.6666666666666665,5.7
0,0,16,1,0,1,2,2,3,3,1,1,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,6,9,8,math,1,2.0,2.0,8.259300861358643,High Risk,2,True,Low,8.0,9.5
0,1,15,1,0,1,2,2,2,2,1,1,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,12,12,11,math,1,2.0,1.5,,,-1,False,Medium-Low,11.0,6.4
0,1,15,1,0,1,4,2,1,3,2,1,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,15,16,15,math,1,3.0,3.0,,,0,False,High,15.0,7.1
0,1,16,1,1,0,3,4,3,2,1,1,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,11,11,11,math,2,3.5,1.0,,,0,False,Medium-Low,5.5,6.3999999999999995
